
State Machine - |UART_TX|act_state
Name act_state.IDLE act_state.S10 act_state.S9 act_state.S8 act_state.S7 act_state.S6 act_state.S5 act_state.S4 act_state.S3 act_state.S2 act_state.S1 act_state.S0 
act_state.S0 0 0 0 0 0 0 0 0 0 0 0 0 
act_state.S1 0 0 0 0 0 0 0 0 0 0 1 1 
act_state.S2 0 0 0 0 0 0 0 0 0 1 0 1 
act_state.S3 0 0 0 0 0 0 0 0 1 0 0 1 
act_state.S4 0 0 0 0 0 0 0 1 0 0 0 1 
act_state.S5 0 0 0 0 0 0 1 0 0 0 0 1 
act_state.S6 0 0 0 0 0 1 0 0 0 0 0 1 
act_state.S7 0 0 0 0 1 0 0 0 0 0 0 1 
act_state.S8 0 0 0 1 0 0 0 0 0 0 0 1 
act_state.S9 0 0 1 0 0 0 0 0 0 0 0 1 
act_state.S10 0 1 0 0 0 0 0 0 0 0 0 1 
act_state.IDLE 1 0 0 0 0 0 0 0 0 0 0 1 
